category	wikidata_id	instances	first_edit	days	size	images	notes	issues	references	issue_clarify	discussion_size	incipit_size	totali	avg_pv	avg_pv_prev	VdQ	vetrina	Galleria_Commons	Pagina_su_Commons	article	article_wikipedia	website	unique_editors	latitude	longitude	visitors	public_private	staff	type	communication_expert	public_digital_archive	nonpublic_digital_archive	region
archivio	Q24714871																			Archivio Cattaneo	Archivio Cattaneo	http://www.cesarecattaneo.com/	21	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q24826511																			Archivio di Stato dell'Aquila - sezione di Avezzano	Sezione di Archivio di Stato di Avezzano	https://www.beniculturali.it/luogo/archivio-di-stato-dell-aquila-sezione-di-avezzano	16	42.030583333333	13.424138888889								
archivio	Q24879316																			Rari Nantes Torino	Rari Nantes Torino	http://www.rarinantestorino.com	12	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q24934777																			Fondazione Gramsci	Fondazione Gramsci	https://www.fondazionegramsci.org	18	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q24941392																			Fondazione Sicilia	Fondazione Sicilia	http://www.fondazionesicilia.it/	16	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q25168251																			Fondazione Luigi Micheletti	Fondazione Luigi Micheletti	http://www.fondazionemicheletti.eu	16	45.539305555556	10.213583333333								
archivio	Q2644227																			Almo Collegio Borromeo	Almo Collegio Borromeo	http://www.collegioborromeo.it	163	45.18027778	9.16130556								
archivio	Q26882902																			"Istituto Papirologico ""Girolamo Vitelli"""	Istituto papirologico Girolamo Vitelli	https://www.istitutopapirologico.unifi.it	6	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q27688740																			Archivio Michele Valori	Archivio Michele Valori	Nessun sito web	8	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q27961108																			Seminario arcivescovile di Palermo	Seminario arcivescovile di Palermo	http://www.seminario.diocesipa.it	15	Nessuna coordinata geografica	Nessuna coordinata geografica								
archivio	Q28016611																			santuario della Madonna del Castello	Santuario di Santa Maria del Castello	Nessun sito web	30	39.80707	16.21408								
archivio	Q2822396																			Accademia delle Scienze di Torino	Accademia delle Scienze di Torino	https://www.accademiadellescienze.it	86	45.068435	7.6843506								
archivio	Q2822654																			Accademia dei Fisiocritici	Accademia delle scienze di Siena	https://www.fisiocritici.it/	33	43.31420869920261	11.330923585467595								
archivio	Q2822657																			Accademia dei Georgofili	Accademia dei Georgofili	http://www.georgofili.it/detail.asp?IDN=1475	53	43.76852777777778	11.255055555555556								
archivio	Q28229104																			chiesa dei Santi Vito e Modesto martiri	Chiesa dei Santi Vito e Modesto (Cermenate)	Nessun sito web	2	45.70017611111111	9.082408055555556								
archivio	Q2860420																			Archivio Centrale dello Stato	Archivio Centrale dello Stato	https://acs.cultura.gov.it/	106	41.828698	12.47655556								
