category	wikidata_id	instances	first_edit	days	size	images	notes	issues	references	issue_clarify	discussion_size	incipit_size	totali	avg_pv	avg_pv_prev	VdQ	vetrina	Galleria_Commons	Pagina_su_Commons	article	article_wikipedia	website	unique_editors	latitude	longitude	visitors	public_private	staff	type	communication_expert	public_digital_archive	nonpublic_digital_archive	region
museo	Q15141205	museo specializzato,museo d'arte,museo storico,museo di un ente pubblico,,,,,	22-02-2008	6005.0	3798.0	1.0	0.0	0.0	0.0	0.0	56.0	205.0	35308	11	12	0	0	Museo napoleonico (Rome)		Museo napoleonico di Roma	Museo napoleonico di Roma	http://www.museonapoleonico.it	33	41.901974	12.471775	24644 (2022)	Pubblico (2022)	3 (2021)	Tematico e/o specializzato; (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si interamente (2022)	Si una parte (2022)	Lazio
museo	Q15141689	museo,,,,,,,,	19-04-2009	5583.0	6129.0	3.0	0.0	0.0	0.0	0.0	0.0	244.0	7439	2	3	0	0	Tribuna di Galileo		Tribuna di Galileo	Tribuna di Galileo	https://catalogo.museogalileo.it/approfondimento/TribunaGalileo.html	16	43.7644	11.2473								Toscana
museo	Q1526140	museo d'arte,museo archeologico,museo di un ente pubblico,,,,,,	19-01-2006	6769.0	41839.0	34.0	5.0	0.0	0.0	0.0	3194.0	374.0	63989	19	14	0	0	Museo regionale (Messina)Museo regionale (Messina)		Museo regionale di Messina	Museo regionale di Messina	http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?id=5&idsito=43	92	38.217346	15.565041	21902 (2022)	Pubblico (2022)	105 (2021)	Arte (da medievale a tutto l’800) (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si interamente (2022)	Si una parte (2022)	Sicilia
museo	Q1527922	museo specializzato,museo storico,museo di un ente pubblico,,,,,,	09-06-2006	6628.0	7736.0	8.0	4.0	1.0	0.0	0.0	226.0	378.0	13925	4	2	0	0	Touriseum		Touriseum	Touriseum e giardini di castel Trauttmansdorff	http://www.touriseum.it	49	46.660799	11.185305	182980 (2022)	Pubblico (2022)	6 (2021)	Tematico e/o specializzato; (2022)		Si una parte (2022)	Si una parte (2022)	Trentino-Alto Adige
museo	Q1530830	museo,,,,,,,,	12-02-2006	6745.0	10818.0	11.0	4.0	0.0	0.0	0.0	1190.0	262.0	33043	10	12	0	0	Kircher Collection		Museo kircheriano	Museo kircheriano	Nessun sito web	47	41.89894722	12.48455833								Lazio
museo	Q1533416	museo di storia naturale,organizzazione,palazzo italiano,museo etnografico,museo di un ente pubblico,,,,	04-07-2007	6238.0	15825.0	21.0	9.0	0.0	0.0	0.0	0.0	260.0	67805	21	26	0	0	Museo civico di storia naturale (Milan)		museo civico di storia naturale	Museo civico di storia naturale di Milano	https://museodistorianaturalemilano.it/	110	45.472777	9.202457	205544 (2022)	Pubblico (2022)	40 (2021)	Storia naturale e scienze naturali (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	Si una parte (2022)	Si una parte (2022)	Lombardia
museo	Q1540920	sito archeologico,tomba,manufatto archeologico museo,museo nazionale italiano,edificio civile storico museo,manufatto di archeologia industriale museo,parco storico museo,parco archeologico,museo del Ministero della Cultura italiano	13-06-2008	5893.0	12097.0	10.0	5.0	0.0	0.0	0.0	3535.0	1400.0	139043	42	39	0	0	Mausoleum of Cecilia Metella (Rome)	Mausoleo di Cecilia Metella	mausoleo di Cecilia Metella	Mausoleo di Cecilia Metella	https://www.parcoarcheologicoappiaantica.it/	74	41.852013	12.520701	11206 (2022)	Pubblico (2022)	3 (2021)	Area archeologica; (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	No, non ancora (2022)	No, non ancora (2022)	Lazio
museo	Q1543539	basilica,museo religioso,museo di un ente privato,,,,,,	31-12-2005	6788.0	9882.0	4.0	6.0	0.0	0.0	0.0	0.0	414.0	161177	49	52	0	0	Holy Trinity of Saccargia		basilica di Saccargia	Basilica di Saccargia	http://www.reginamundi.info/santuari/Santuario_saccargia.asp	125	40.67125	8.68911111	39000 (2022)	Privato (2022)	5 (2021)	Chiesa, edificio o complesso monumentale a carattere religioso (2022)	NO (2021)	No, non ancora (2022)	No, non ancora (2022)	Sardegna
museo	Q1546378	osservatorio astronomico,museo scientifico,museo della tecnologia,,,,,,	19-03-2008	5979.0	27861.0	26.0	9.0	0.0	0.0	0.0	1234.0	1436.0	15682	5	5	0	0	Osservatorio astronomico d'Abruzzo		osservatorio astronomico d'Abruzzo	Osservatorio astronomico d'Abruzzo	http://www.oa-teramo.inaf.it	57	42.654026	13.731322	90 (2021)	Pubblico (2021)	6 (2021)	Scienza e tecnica; (2021)	NO (2021)	Si interamente (2021)	No, non ancora (2021)	Abruzzo
museo	Q1547160	edificio storico,casa museo,palazzo museo,parco storico museo,museo di un ente privato,,,,	29-08-2006	6547.0	43894.0	17.0	11.0	0.0	0.0	0.0	4018.0	1525.0	739584	225	364	0	0	Vittoriale degli italiani		Vittoriale degli italiani	Vittoriale degli Italiani	http://www.vittoriale.it/	314	45.623961	10.565013	267512 (2022)	Privato (2022)	40 (2021)	Villa o palazzo di interesse storico o artistico; (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si una parte (2022)	Si una parte (2022)	Lombardia
museo	Q15503298	zoo safari,giardino zoologico,parco di divertimento,,,,,,	30-12-2013	3867.0	7054.0	20.0	5.0	0.0	0.0	0.0	1290.0	1390.0	77341	24	10	0	0	Pombia Safari Park		Pombia Safari Park	Pombia Safari Park	https://www.safaripark.it/	76	45.65	8.63333								Piemonte
museo	Q1550380	città antica,sito archeologico,parco archeologico,museo del Ministero della Cultura italiano,,,,,	01-04-2006	6697.0	25969.0	4.0	29.0	0.0	0.0	0.0	3544.0	292.0	40318	12	11	0	0	Grumentum, Parco archeologico		Grumentum	Grumentum	http://www.aptbasilicata.it/Parco-archeologico-di-Grumentum.508+M52087573ab0.0.html	65	40.28388889	15.90611111	4125 (2022)	Pubblico (2022)	13 (2021)	Parco archeologico; (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	Si una parte (2022)	No, non disponeva di beni da digitalizzare (2022)	Basilicata
museo	Q15545668	museo,,,,,,,,	08-10-2013	3950.0	3957.0	11.0	1.0	0.0	0.0	0.0	0.0	703.0	8188	2	2	0	0	Museo archeologico (Monasterace)		Museo archeologico di Monasterace	Museo archeologico di Monasterace	http://www.museoarcheologicomonasterace.it/	15	38.4502	16.5788								Calabria
museo	Q1568583	sito archeologico,città antica,polis,parco archeologico,museo nazionale italiano,museo del Ministero della Cultura italiano,,,	01-03-2006	6728.0	5773.0	6.0	3.0	1.0	0.0	0.0	7216.0	233.0	82378	25	28	0	0	Herakleia	Herakleia	Eraclea	Eraclea (Magna Grecia)	https://cultura.gov.it/luogo/parco-archeologico-di-herakleia	81	40.2195	16.6704	10517 (2022)	Pubblico (2022)	14 (2021)	Parco archeologico; (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	Si una parte (2022)	Si una parte (2022)	Basilicata
museo	Q1579923	residenza reale,museo nazionale,Residenz,bene culturale,museo d'arte,museo d'arte moderna,museo nazionale italiano,,	18-09-2007	6162.0	22416.0	22.0	12.0	1.0	0.0	0.0	4838.0	795.0	410730	125	112	0	0	Villa Reale (Monza)		Reggia di Monza	Villa Reale di Monza	http://www.villarealedimonza.it/	211	45.59361111	9.27472222								Lombardia
museo	Q1580885	osservatorio astronomico,museo scientifico,museo della tecnologia,museo di un ente pubblico,,,,,	29-12-2006	6425.0	70178.0	10.0	13.0	0.0	0.0	0.0	4290.0	661.0	36498	11	12	0	0	Brera Observatory		osservatorio astronomico di Brera	Osservatorio astronomico di Brera	http://www.brera.inaf.it	87	45.471992	9.187705	1553 (2022)	Pubblico (2022)	4 (2019)	Scienza e tecnica; (2022)	Privato (2018)	Si interamente (2022)	Si una parte (2022)	Lombardia
museo	Q1582077	nuraghe,parco archeologico,museo,museo di un ente pubblico,,,,,	23-05-2014	3723.0	4743.0	4.0	1.0	1.0	0.0	0.0	0.0	844.0	21980	7	6	0	0	Nuraghe La Prisgiona (Arzachena)		nuraghe La Prisgiona	Nuraghe La Prisgiona	http://www.sardegnacultura.it/j/v/253?s=22223&v=2&c=2488&c1=2130&t=1	19	41.04767	9.36239	45761 (2022)	Pubblico (2022)	3 (2021)	Area archeologica; (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	Si una parte (2022)	Si una parte (2022)	Sardegna
museo	Q1585745	palazzo,palazzo museo,museo di un ente pubblico,,,,,,	20-07-2004	7317.0	7395.0	10.0	4.0	0.0	0.0	0.0	0.0	223.0	161842	49	46	0	0	Palazzo Contarini del Bovolo (Venice)	Scala Contarini del Bovolo (Venice)	Palazzo Contarini del Bovolo	Palazzo Contarini del Bovolo	Nessun sito web	64	45.43480556	12.33452778	106402 (2022)	Pubblico (2022)		Villa o palazzo di interesse storico o artistico; (2022)		Si una parte (2022)	Si una parte (2022)	Veneto
museo	Q1585931	museo,villa,museo d'arte,museo nazionale italiano,museo storico,palazzo museo,museo specializzato,museo del Ministero della Cultura italiano,	14-09-2006	6531.0	11338.0	5.0	1.0	0.0	0.0	0.0	1009.0	789.0	33646	10	8	0	0	Villa medicea di Cerreto Guidi		Villa medicea di Cerreto Guidi	Villa medicea di Cerreto Guidi	http://www.polomusealetoscana.beniculturali.it/index.php?it/186/cerreto-guidi-fi-villa-medicea-di-cerreto-guidi-e-museo-storico-della-caccia-e-del-territorio-firenze	57	43.75861111	10.87916667	11083 (2022)	Pubblico (2022)	4 (2021)	Arte (da medievale a tutto l’800) (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	Si una parte (2022)	Si una parte (2022)	Toscana
museo	Q1587024	osservatorio astronomico,museo,,,,,,,	20-11-2018	2081.0	7469.0	0.0	12.0	0.0	0.0	0.0	3897.0	403.0	3365	1	2	0	0	Osservatorio astronomico della Montagna pistoiese		osservatorio astronomico della Montagna Pistoiese	Osservatorio astronomico della Montagna pistoiese	http://www.gamp-pt.net	20	44.06417	10.80385								Toscana
museo	Q15920391	museo,museo archeologico,museo di storia naturale,museo di un ente pubblico,,,,,	06-03-2014	3801.0	28514.0	13.0	0.0	1.0	0.0	0.0	14.0	101.0	3670	1	0	0	0	Civico Museo di Castelleone		museo civico di Castelleone	Museo civico di Castelleone	http://www.comune.castelleone.cr.it/news/leggi_area.asp?ART_ID=1731&MEC_ID=181&MEC_IDFiglie=203	25	45.293114	9.762797	300 (2022)	Pubblico (2022)	2 (2019)	Archeologia (2022)		No, non ancora (2022)	No, non ancora (2022)	Lombardia
museo	Q15939592	museo,museo storico,casa museo,museo di un ente pubblico,,,,,	12-03-2014	3795.0	41503.0	19.0	2.0	1.0	0.0	0.0	328.0	1702.0	5336	2	1	0	0	Museo Civico Goffredo Bellini		Museo civico Goffredo Bellini	Museo civico Goffredo Bellini	http://www.comune.asola.mn.it	26	45.221527	10.412498	2367 (2022)	Pubblico (2022)	1 (2021)	Altro, specificare (2022)		Si una parte (2022)	Si una parte (2022)	Lombardia
museo	Q15939615	museo archeologico,museo locale,museo di un ente pubblico,,,,,,	23-01-2014	3843.0	9365.0	4.0	0.0	1.0	0.0	0.0	14.0	432.0	8420	3	2	0	0	Museo Archeologico G. Rambotti		Museo civico archeologico Giovanni Rambotti	Museo civico archeologico Giovanni Rambotti	https://www.museorambotti.it/	45	45.46810132973874	10.543744475993797	4494 (2022)	Pubblico (2022)	2 (2021)	Archeologia (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	Si una parte (2022)	Si una parte (2022)	Lombardia
museo	Q1594614	rocca,museo,edificio militare museo,parco storico museo,,,,,	23-07-2014	3662.0	6858.0	12.0	9.0	0.0	0.0	0.0	0.0	165.0	74288	23	21	0	0	Rocca Maggiore (Assisi)		Rocca Maggiore	Rocca Maggiore	Nessun sito web	28	43.0706	12.6163	8961 (2021)	Pubblico (2021)	0 (2021)	Architettura fortificata o militare (castello, torre, mura, arsenale, etc.) (2021)	NO (2021)	No, non disponeva di beni da digitalizzare (2021)	No, non disponeva di beni da digitalizzare (2021)	Umbria
museo	Q15961396	museo nazionale,museo archeologico,museo nazionale italiano,museo del Ministero della Cultura italiano,,,,,	02-05-2013	4109.0	14662.0	4.0	4.0	0.0	0.0	0.0	0.0	1072.0	39247	12	7	0	0	Museo Archeologico Nazionale (Venice)		Museo archeologico nazionale di Venezia	Museo archeologico nazionale di Venezia	https://www.polomusealeveneto.beniculturali.it/musei/museo-archeologico-nazionale-di-venezia	45	45.433483	12.337797	370491 (2022)	Pubblico (2022)	10 (2021)	Archeologia (2022)	NO (2021)	Si una parte (2022)	Si una parte (2022)	Veneto
museo	Q15961522	museo nazionale,museo archeologico,museo d'arte,museo nazionale italiano,museo del Ministero della Cultura italiano,,,,	13-06-2016	2971.0	2819.0	1.0	1.0	1.0	0.0	0.0	0.0	622.0	19163	6	5	0	0	Museo archeologico nazionale (Tarquinia)		Museo archeologico nazionale di Tarquinia	Museo archeologico nazionale di Tarquinia	http://www.cerveteri.beniculturali.it/index.php?it/194/museo-archeologico-nazionale-tarquiniense	28	42.253525	11.755583	31692 (2022)	Pubblico (2022)	18 (2021)	Archeologia (2022)	NO (2021)	No, non ancora (2022)	No, non ancora (2022)	Lazio
museo	Q15961616	museo dell'industria,museo specializzato,museo d'arte,museo di un ente privato,,,,,	02-11-2013	3925.0	6134.0	5.0	3.0	0.0	0.0	0.0	1298.0	448.0	6467	2	1	0	0	Museo Rossimoda della calzatura		Museo della Calzatura di Villa Foscarini Rossi	Museo Rossimoda della calzatura	http://www.museodellacalzatura.it/	42	45.40899135840034	12.006847270684004	. (2022)	Privato (2022)		Industriale e/o d’impresa (anche archeologia industriale) (2022)		Si interamente (2022)	Si una parte (2022)	Veneto
museo	Q15972169	rocca,museo,,,,,,,	13-04-2013	4128.0	12305.0	9.0	2.0	0.0	0.0	0.0	995.0	298.0	32499	10	12	0	0	Rocca (Lonato del Garda)		Rocca di Lonato	Rocca di Lonato	http://www.fondazioneugodacomo.it/	24	45.46288	10.48626								Lombardia
museo	Q15983747	museo d'arte,museo archeologico,museo storico,museo di un ente pubblico,,,,,	13-12-2013	3884.0	11853.0	3.0	11.0	0.0	0.0	0.0	0.0	392.0	9788	3	2	0	0	Museo civico di Crema e del Cremasco		Museo civico di Crema e del Cremasco	Museo civico di Crema e del Cremasco	http://www.museocrema.it/	33	45.36168	9.69113	7000 (2022)	Pubblico (2022)	5 (2021)	Arte (da medievale a tutto l’800) (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si una parte (2022)	Si una parte (2022)	Lombardia
museo	Q16167925	museo,,,,,,,,	27-11-2013	3900.0	13226.0	0.0	1.0	0.0	0.0	0.0	0.0	2186.0	6109	2	2	0	0	Archivio del '900		Archivio del '900	Archivio del '900	http://www.mart.trento.it/fondi	25	45.8939	11.0447								Trentino-Alto Adige
museo	Q16268137																			Armeria Albicini	Armeria Albicini	http://www.cultura.comune.forli.fo.it	7	44.220516	12.044401		Pubblico (2011)	5 (2011)	Arte (da medievale a tutto l’800) (2011)				
museo	Q16268194	museo tipografico,museo specializzato,museo di un ente privato,,,,,,	15-08-2013	4004.0	2578.0	3.0	1.0	1.0	0.0	0.0	0.0	1479.0	11258	3	3	0	0	Museo Bodoniano		Museo Bodoniano	Museo Bodoniano	http://pilotta.beniculturali.it/il-complesso-monumentale/museo-bodoniano/	18	44.804555555556	10.325972222222	2000 (2022)	Privato (2022)	1 (2021)	Tematico e/o specializzato; (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si interamente (2022)	Si una parte (2022)	Emilia-Romagna
museo	Q16268243	casa museo,museo storico,museo di un ente pubblico,casa,,,,,	06-02-2013	4194.0	1362.0	1.0	0.0	0.0	0.0	0.0	1692.0	544.0	3319	1	1	0	0	Casa museo Marino Moretti		Casa museo Marino Moretti	Casa museo Marino Moretti	http://www.casamoretti.it	13	44.199284	12.39508	50000 (2022)	Pubblico (2022)	1 (2021)	Casa Museo, Casa della Memoria; (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	No, non ancora (2022)	No, non ancora (2022)	Emilia-Romagna
museo	Q16268403	museo specializzato,museo dell'industria,,,,,,,	09-03-2013	4163.0	5127.0	4.0	9.0	0.0	0.0	0.0	3316.0	1552.0	9913	3	2	0	0	Gelato Museum Carpigiani		Gelato Museum Carpigiani	Gelato Museum Carpigiani	http://gelatomuseum.com/	33	44.540761520471804	11.210140532997114	1800 (2021)	Privato (2021)		Tematico e/o specializzato; (2021)				Emilia-Romagna
museo	Q16268495	museo specializzato,museo d'arte moderna,,,,,,,	21-10-2013	3937.0	5278.0	2.0	4.0	0.0	0.0	0.0	1639.0	637.0	49111	15	15	0	0	Fondazione MAST		Manifattura di Arti, Sperimentazione e Tecnologia	MAST	http://www.mast.org/	34	44.5057393	11.2938236		Privato (2015)	1 (2015)	Tematico e/o specializzato; (2015)	Privato (2017)			Emilia-Romagna
museo	Q16268565	museo archeologico,,,,,,,,	11-02-2013	4189.0	4230.0	2.0	0.0	1.0	0.0	0.0	0.0	288.0	2745	1	1	0	0	Museo archeologico Antonio Santarelli (Forlì)		Museo archeologico Antonio Santarelli	Museo archeologico Antonio Santarelli	http://www.turismoforlivese.it/servizi/menu/dinamica.aspx?ID=4465	19	44.220516	12.044401								Emilia-Romagna
museo	Q16268566	museo specializzato,museo storico,museo etnografico,museo della tecnologia,museo di un ente pubblico,,,,	19-03-2014	3788.0	6671.0	2.0	3.0	0.0	0.0	0.0	33.0	358.0	2547	1	2	0	0	Museo di storia della psichiatria		Museo di storia della psichiatria	Museo di storia della psichiatria	https://www.musei.re.it/sedi/museo-della-psichiatria/	18	44.69	10.66108	5577 (2022)	Pubblico (2022)	2 (2021)	Tematico e/o specializzato; (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	Si interamente (2022)	Si interamente (2022)	Emilia-Romagna
museo	Q16268567	museo etnografico,,,,,,,,	07-02-2013	4193.0	3444.0	0.0	1.0	1.0	0.0	1.0	0.0	462.0	1254	0	0	0	0			Museo etnografico romagnolo Benedetto Pergoli	Museo etnografico romagnolo Benedetto Pergoli	http://www.cultura.comune.forli.fc.it/servizi/menu/dinamica.aspx?idArea=16315&idCat=17155&ID=17206	18	44.2203839	12.0445073		Pubblico (2011)	5 (2011)	Etnografia e antropologia; (2011)				Emilia-Romagna
museo	Q1627379	museo d'arte,museo,,,,,,,	02-04-2009	5600.0	5312.0	1.0	10.0	0.0	0.0	0.0	5537.0	449.0	2477	1	1	0	0			Museo d'arte di Chianciano	Museo d'arte di Chianciano	http://www.museodarte.org	29	43.050202777778	11.820083333333								Toscana
museo	Q162965	museo,palazzo,,,,,,,	15-12-2008	5708.0	11128.0	17.0	6.0	0.0	0.0	0.0	106.0	627.0	64540	20	17	0	0	Palazzo Doria Tursi (Genoa)		palazzo Doria-Tursi	Palazzo Doria-Tursi	https://www.rolliestradenuove.it/rollo/16-palazzo-di-niccolo-grimaldi/	59	44.41133333	8.93280556								Liguria
museo	Q16318951	ospedale psichiatrico,ex ospedale,museo specializzato,museo storico,museo di un ente pubblico,,,,	01-02-2014	3834.0	11578.0	2.0	5.0	2.0	2.0	0.0	1711.0	1162.0	37378	11	26	0	0	Santa Maria della Pietà psychiatric hospital		ospedale psichiatrico di Santa Maria della Pietà	Ospedale psichiatrico Santa Maria della Pietà	https://www.aslroma1.it/presidi-territoriali/poliambulatorio-santa-maria-della-pieta	52	41.940641	12.418336	2000 (2022)	Pubblico (2022)	2 (2021)	Tematico e/o specializzato; (2022)	NO (2021)	No, non ancora (2022)	Si una parte (2022)	Lazio
museo	Q16335817	museo archeologico,museo di un ente pubblico,,,,,,,	15-04-2014	3761.0	27163.0	15.0	3.0	0.0	0.0	0.0	805.0	150.0	10188	3	2	0	0	Civico Museo Archeologico di Villa Mirabello		Museo civico archeologico di Villa Mirabello	Museo civico archeologico di Villa Mirabello	http://www.cspa-va.it/museo_archeologico.html	28	45.8157742	8.8228025	8288 (2022)	Pubblico (2022)	4 (2021)	Archeologia (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si interamente (2022)	Si una parte (2022)	Lombardia
museo	Q16335832	museo,ente o istituzione pubblica soppressa,,,,,,,	06-04-2006	6692.0	7501.0	1.0	6.0	0.0	0.0	0.0	0.0	437.0	14234	4	4	0	0	Museo africano		Museo africano	Museo africano	https://museocivilta.cultura.gov.it/italo-africano/	33	Nessuna coordinata geografica	Nessuna coordinata geografica								Lazio
museo	Q16335902	pinacoteca,museo d'arte,museo d'arte moderna,museo di un ente pubblico,,,,,	13-05-2007	6290.0	3719.0	8.0	0.0	0.0	0.0	0.0	0.0	297.0	35483	11	11	0	0	Pinacoteca Giuseppe De Nittis (Barletta)		Pinacoteca Giuseppe De Nittis	Pinacoteca De Nittis	http://www.barlettamusei.it/denittis.html	60	41.32126667	16.28158889	17088 (2022)	Pubblico (2022)	5 (2021)	Arte (da medievale a tutto l’800) (2022)		Si interamente (2022)	Si interamente (2022)	Puglia
museo	Q16335907	torre,edificio militare museo,museo di un ente pubblico,,,,,,	25-06-2007	6247.0	6226.0	0.0	6.0	0.0	0.0	0.0	0.0	392.0	5471	2	1	0	0	Torre del Candeliere		Torre del Candeliere	Torre del Candeliere	http://www.coopcollinemetallifere.it/musei	10	43.05132778	10.890425	19029 (2022)	Pubblico (2022)	4 (2021)	Architettura fortificata o militare (castello, torre, mura, arsenale, etc.) (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	No, non disponeva di beni da digitalizzare (2022)	No, non disponeva di beni da digitalizzare (2022)	Toscana
museo	Q16336117	museo del design,museo specializzato,,,,,,,	03-03-2012	4534.0	12481.0	1.0	12.0	0.0	0.0	0.0	8642.0	946.0	26646	8	7	0	0	Triennale Design Museum		Triennale Design Museum	Triennale Design Museum	http://www.triennaledesignmuseum.it/	32	45.47229	9.17383	173334 (2018)	Privato (2018)	11 (2018)	Tematico e/o specializzato; (2018)	Privato (2018)			Lombardia
museo	Q16336120	museo ferroviario,,,,,,,,	05-06-2012	4440.0	8179.0	0.0	8.0	0.0	0.0	0.0	0.0	577.0	5670	2	2	0	0			Museo ferroviario di Roma	Museo ferroviario di Roma	Nessun sito web	20	Nessuna coordinata geografica	Nessuna coordinata geografica								Lazio
museo	Q16336124	museo specializzato,museo etnografico,museo di un ente privato,,,,,,	30-01-2013	4201.0	4666.0	7.0	0.0	0.0	0.0	0.0	210.0	141.0	2886	1	1	0	0	Museo dei pupi (Syracuse)		Museo aretuseo dei pupi	Museo aretuseo dei pupi	http://www.pupari.com/	25	37.05917	15.29601	9405 (2022)	Privato (2022)	6 (2021)	Tematico e/o specializzato; (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	No, non ancora (2022)	No, non ancora (2022)	Sicilia
museo	Q16336125	museo di storia naturale,museo etnografico,museo storico,museo di un ente privato,,,,,	01-02-2013	4199.0	5740.0	1.0	7.0	0.0	0.0	0.0	2312.0	348.0	2985	1	1	0	0	Museo mineralogico campano		Museo mineralogico campano	Museo mineralogico campano	http://www.museomineralogicocampano.it/	15	40.662796	14.425933	7453 (2022)	Privato (2022)	1 (2019)	Storia naturale e scienze naturali (2022)		Si interamente (2022)	Si una parte (2022)	Campania
museo	Q16336126	museo,,,,,,,,	08-02-2013	4192.0	9037.0	4.0	0.0	0.0	0.0	0.0	411.0	344.0	8223	3	2	0	0	Parco del Sojo (Lusiana)		parco del Sojo	Parco del Sojo	http://www.parcodelsojo.it/	30	45.77641389	11.54546944								Veneto
museo	Q16336128	museo,,,,,,,,	16-02-2013	4184.0	7343.0	1.0	9.0	0.0	0.0	0.0	1087.0	307.0	10918	3	2	0	0	Museo dello sbarco e Salerno Capitale		Museo dello sbarco e Salerno Capitale	Museo dello sbarco e Salerno Capitale	http://www.salerno1943-1944.com	25	40.64695	14.81738								Campania
museo	Q16336129	villa,complesso di edifici,museo d'arte,museo di un ente privato,,,,,	21-02-2013	4179.0	6572.0	7.0	3.0	0.0	0.0	0.0	949.0	574.0	5744	2	5	0	0	Villa Cagnola (Gazzada)		villa Cagnola	Villa Cagnola	https://villacagnola.com/la-collezione-darte/	28	45.778913888889	8.8214416666667	1500 (2022)	Privato (2022)	2 (2021)	Arte (da medievale a tutto l’800) (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	No, non ancora (2022)		Lombardia
museo	Q16336130	museo,,,,,,,,	22-02-2013	4178.0	5588.0	0.0	3.0	0.0	0.0	0.0	1034.0	260.0	2961	1	1	0	0	Centro arti visive Pescheria		centro arti visive Pescheria	Centro arti visive Pescheria	http://www.centroartivisivepescheria.it/	21	43.9119418	12.9083282								Marche
museo	Q16336132	museo archeologico,museo della tecnologia,,,,,,,	15-03-2013	4157.0	6049.0	1.0	11.0	0.0	0.0	0.0	2203.0	442.0	27728	8	7	0	0	Museo archeologico virtuale		Museo archeologico virtuale	Museo archeologico virtuale	http://www.museomav.it	25	40.80725	14.35039	13879 (2021)	Privato (2021)	7 (2021)	Archeologia (2021)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si interamente (2021)	No, non disponeva di beni da digitalizzare (2021)	Campania
museo	Q16336133	museo dell'industria,museo della tecnologia,museo di un ente pubblico,,,,,,	17-03-2013	4155.0	5711.0	2.0	1.0	1.0	1.0	0.0	0.0	566.0	2314	1	1	0	0	Museo dell'orologio da torre Giovanni Battista Bergallo		Museo dell'orologio da torre Giovanni Battista Bergallo	Museo dell'orologio da torre Giovanni Battista Bergallo	http://www.museodellorologio.it	14	44.190083	8.260769	600 (2022)	Pubblico (2022)	1 (2021)	Scienza e tecnica; (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	No, non disponeva di beni da digitalizzare (2022)	No, non disponeva di beni da digitalizzare (2022)	Liguria
museo	Q16336134	museo etnografico,,,,,,,,	20-03-2013	4152.0	3237.0	1.0	2.0	1.0	0.0	0.0	981.0	129.0	2460	1	0	0	0	Museo del lavoro e della civiltà rurale		Museo del lavoro e della civiltà rurale	Museo del lavoro e della civiltà rurale	Nessun sito web	22	43.62704	10.71519		Privato (2017)	1 (2017)	Etnografia e antropologia; (2017)				Toscana
museo	Q16336135	museo,,,,,,,,	24-03-2013	4148.0	7561.0	1.0	11.0	0.0	0.0	0.0	3466.0	428.0	86850	26	13	0	0	Farm Cultural Park		Farm Cultural Park	Farm Cultural Park	https://www.farmculturalpark.com/	47	37.31333333333333	13.658333333333333								Sicilia
museo	Q16336136	museo etnografico,museo specializzato,museo di un ente pubblico,,,,,,	27-03-2013	4145.0	2333.0	0.0	0.0	1.0	0.0	0.0	0.0	390.0	46	0	0	0	0			museo della Civiltà contadina e dell'Ulivo	Museo della civiltà contadina e dell'ulivo di Pastena	http://www.museodipastena.it/	8	41.468967	13.49097	2495 (2022)	Pubblico (2022)	1 (2021)	Etnografia e antropologia; (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	No, non ancora (2022)	No, non ancora (2022)	Lazio
museo	Q16336137	museo specializzato,museo di un ente pubblico,,,,,,,	03-04-2013	4138.0	1842.0	0.0	3.0	0.0	0.0	0.0	1217.0	126.0	1144	0	0	0	0			Museo delle marionette Angelo Cenderelli	Museo delle marionette Angelo Cenderelli	http://www.comune.campomorone.ge.it/campomoronecultura/fondali.aspx	18	44.506653	8.892651	500 (2022)	Pubblico (2022)	1 (2021)	Tematico e/o specializzato; (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	No, non ancora (2022)	No, non ancora (2022)	Liguria
